Abbuotto,Red
Abouriou,Red
Acolon,Red
Agiorgitiko/Aghiorghitiko,Red
Aglianico,Red
Aleatico/Agliano,Red
Aladasturi,Red
Alexandrouli,Red
Alfrocheiro Preto,Red
Alicante Bouschet,Red
Alicante Ganzin,Red
Alvarelhão / Brancelho,Red
Amorghiano,Red
Ancellotta,Red
Aragónez,Red
Aramon,Red
Areni,Red
Aspiran,Red
Aubun,Red
Avana,Red
Avarengo,Red
B?beasc? Neagr?,Red
Baco Noir,Red
Baga,Red
Barbarossa,Red
Barbera,Red
Barsalinga,Red
Bastardo/ Trousseau,Red
Bellone,Red
Béquignol,Red
Black Muscat,Red
Blatina,Red
Blauburger,Red
Blauer Portugieser / Blauer Portuguiser / Oporto / Kékoportó / Portugais,Red
Blaufränkisch / Lemberger / Franconia / Kékfrankos / Gamé,Red
Bobal,Red
Bogazkere,Red
Bonarda,Red
Bondola,Red
Bordo/Ives Noir,Red
Bouchalès,Red
Bovale,Red
Borgonja Crna,Red
Brachetto or Braquet,Red
Brancellao,Red
Brown Muscat,Red
Brun Fourca,Red
Bual / Boal,Red
Cabernet Franc,Red
Cabernet Sauvignon,Red
Cabernet Severny,Red
Caddiu,Red
Cagnulari,Red
Caiño Tinto,Red
Caladoc,Red
Calitor,Red
Callet,Red
Caloria,Red
Canaiolo,Red
Canina nera,Red
Caricagiola,Red
Carignan / Carignane / Cariñena / Carignano /Mazuelo,Red
Carménère,Red
Carmine,Red
Carnelian,Red
Castelão / Periquita,Red
Castets,Red
Castiglione,Red
Catanese,Red
Centurian,Red
Cesanese,Red
Cesar,Red
Charbono,Red
Cienna,Red
Ciliegiolo,Red
Cinsaut / Cinsault/ Ottavianello,Red
Colorino,Red
Complexa,Red
Cornalin,Red
Cornifesto,Red
Corvina / Corvinone,Red
Counoise,Red
Croatina,Red
Darkenuša,Red
Dobri?i?,Red
Dolcetto,Red
Domina,Red
Dornfelder,Red
Dunkelfelder,Red
Duras,Red
Durif / Petite Sirah,Red
Espadeiro,Red
Étraire,Red
Fer,Red
Ferrón,Red
Feteasc? Neagr?,Red
Forcayat/Forcallat,Red
Fortana,Red
Frappato,Red
Freisa,Red
Frühroter Veltliner,Red
Fumin,Red
Gaglioppo,Red
Gamashara,Red
Gamay / Gamay Noir,Red
Gamaret,Red
Garanoir,Red
Garnatxa / Grenache / Garnacha / Cannonau,Red
Garrut,Red
Girò,Red
Graciano/ Moristel,Red
Grand Noir de la Calmette,Red
Gran Negro / Grão Negro,Red
Greco Nero,Red
Grignolino,Red
Gropello,Red
Grolleau / Groslot,Red
Gros Verdot,Red
Guarnaccia,Red
Helfensteiner,Red
Heroldrebe,Red
Hondarrabi Beltza,Red
Humagne Rouge / Cornalin d'Aoste,Red
Jaén,Red
Joubertin / Jaubertin,Red
Juan Garcia,Red
Juan Ibáñez / Miguel del Arco,Red
Jurancon noir,Red
Kadarka,Red
Kakhet,Red
Kalecik Karasi,Red
Kékoporto / Kékoportó,Red
Kindzmarauli,Red
Kotsifali,Red
Kratosija,Red
Lacrima di Morro / Lacrima Nera,Red
Lagrein,Red
Lambrusco,Red
Liatiko,Red
Limnio,Red
Listan Negro,Red
Lladoner Pelut / Lledoner Pelut,Red
Madrasa,Red
Magaratch Bastardo,Red
Magaratch Ruby / Magarach Ruby,Red
Magliocco / Magliocco Canino,Red
Maiolica,Red
Malbec / Auxerrois / Cot,Red
Malvasia di Schierano,Red
Malvasia Nera,Red
Mammolo,Red
Mandelaria / Mandelari,Red
Mandolari,Red
Manseng noir,Red
Mantonegro,Red
Mara,Red
Maratheftiko,Red
Marselan,Red
Marsigliana,Red
Marzemino,Red
Matrassa,Red
Mavro,Red
Mavrodafni/ Mavrodaphne,Red
Mavrud / Mavroudi,Red
Mayorquin,Red
Meghrabujr,Red
Melnik,Red
Mencia/ Jaen,Red
Merenzao,Red
Merille,Red
Merlot,Red
Milgranet,Red
Millot,Red
Mission,Red
Molinara,Red
Mondeuse,Red
Monica,Red
Montepulciano,Red
Montù / Montuni,Red
Moravia,Red
Moreto,Red
Moristel,Red
Mourisco Tinto,Red
Mourvèdre / Monastrell / Mataro,Red
Mouyssaguès,Red
Mschali,Red
Mujuretuli,Red
Muscardin,Red
Muscat Hamburg,Red
Nebbiolo,Red
Negoska,Red
Négrette,Red
Negroamaro,Red
Negru de Dragasani,Red
Nerkarat,Red
Nero Buono di Cori,Red
Nero d'Avola,Red
Nerello Cappuccio,Red
Nerello Mascalese,Red
Neretto di Bairo,Red
Neyret,Red
Nielluccio,Red
Nincusa,Red
Nocera,Red
Notardomenico,Red
Ojaleshi,Red
Öküzgözü,Red
Olivella nera,Red
Oseleta,Red
Ojaleshi,Red
Pais,Red
Pamid,Red
Parana,Red
Pascale di Cagliari,Red
Pelaverga,Red
Peloursin,Red
Perdal,Red
Perricone,Red
Persan,Red
Petit Rouge,Red
Petit Verdot,Red
Picpoul Noir,Red
Piedirosso,Red
Pignerol,Red
Pignola Valtellinese,Red
Pignolo,Red
Pineau d'Aunis,Red
Pinot Meunier / Schwarzriesling / Müllerebe,Red
Pinot Noir / Spätburgunder / Blauburgunder / Pinot Nero,Red
Pinotage,Red
Pinot St. George,Red
Plassa,Red
Plavac Mali,Red
Plavina,Red
Pollera Nera,Red
Portan,Red
Portugieser,Red
Poulsard/ Plousard,Red
Prieto Picudo,Red
Primitivo,Red
Prokupac,Red
Provechon,Red
Raboso,Red
Ramisco,Red
Refosco / Refošk,Red
Roesler,Red
Rondinella,Red
Rossese,Red
Rossignola,Red
Rossola Nera,Red
Rotberger,Red
Rouchet/ Ruché / Roche,Red
Rubired,Red
Ruby Cabernet,Red
Rufete / Tinta Pinheira / Tinta Carvalha / Rufeta,Red
Sagrantino,Red
Sangiovese,Red
Saperavi,Red
Schiava / Trollinger,Red
Schioppettino,Red
Schönburger,Red
Sciacarello,Red
Sciascinoso,Red
Segalin / Ségalin,Red
Servanin,Red
Sgaretta,Red
Shiraz / Syrah,Red
Shiroka Melnishka Losa / Melnik,Red
Sousão,Red
Sousón,Red
St. Laurent / Svatovavrinecke,Red
St-Macaire,Red
Sumoll,Red
Susumaiello,Red
Taminga,Red
Tannat,Red
Tarrango,Red
Tazzelenghe,Red
Tempranillo / Tinta Roriz / Ull de Llebre / Cencibel / Tinta del Pais,Red
Teroldego / Teroldego Rotaliano,Red
Terret Noir,Red
Thiniatiko,Red
Tibouren,Red
Tinta Amarela,Red
Tinta Barroca,Red
Tinta Caiada,Red
Tinta Carvalha,Red
Tinta Francisca,Red
Tinta Madeira,Red
Tinta Miuda,Red
Tinta Negra Mole / Preto Martinho,Red
Tinta Pinheira,Red
Tinto Cão,Red
Touriga Franca / Touriga Francesa,Red
Touriga Nacional / Azal Espanhol / Preto de Mortágua,Red
Trepat,Red
Trevisana Nera,Red
Trincadeira/ Castelão / Torneiro,Red
Troia / Uva di Troia,Red
Trollinger,Red
Trousseau,Red
Turca,Red
Usakhelauri,Red
Uva di Troia,Red
Uva Rara,Red
Vaccarese / Vaccarèse,Red
Valdiguié,Red
Vespolina,Red
Vien de Nus,Red
Volidza,Red
Vranac,Red
Wildbacher/Blauer Wildbacher,Red
Wrothham Pinot,Red
Xynomavro,Red
Zinfandel / Crljenak Kaštelanski / Primitivo,Red
Zweigelt / Zweigeltrebe / Rotburger,Red
